CÓDIGO DE ERROR
01B0101
01D0101
03A0902
03D0102
03D0103
04A0204
04A0301
04A0603
04C0101
05B0101
08A1301
09D1301
02A0202
02A0203
03A0501
03A0801
03A1201
03A1202
04A0403
04A0802
04B0203
04B0204
04B0603
04B0604
04B0605
04B0606
04B1001
04B1301
04C0105
04C0301
04C0302
05A0203
09B0101
